1000000000;8;7383056384;50847534;12.578;
10000000000;8;24288489472;455052511;49.562;
10000000000;8;25386618880;455052511;47.844;
1000000000;32;10000000;50847534;0.125;
1000000000;32;32;1000000000;50847534;4.031;
1000000000;32;32;10000000000;50847534;4;
1000000000;32;32;10000000000;50847534;4;
1000000000;32;32;10000000000;50847534;4.016;
1000000000;32;32;10000000000;50847534;4.016;
1000000000;32;32;10000000000;50847534;4;
10000000000;32;32;10000000000;455052511;46.109;
10000000000;32;3203;100000000;455052511;4.531;
10000000000;32;32252;10000000;455052511;1.204;
10000000000;32;347123;1000000;455052511;1.641;
10000000000;32;14641143;100000;455052511;58.046;
10000000000;32;347123;1000000;455052511;1.641;
